"","X","Y","month","day","FFMC","DMC","DC","ISI","temp","RH","wind","rain","area"
"139",9,9,"jul","tue",0.681957186544342,0.165751920965971,0.359974984365228,0.161458333333333,0.474226804123711,0.36,0.270588235294118,0,0.00129249991024306
"140",1,4,"sep","tue",0.840978593272171,0.462861324551775,0.834271419637273,0.322916666666667,0.601374570446735,0.306666666666667,0.211764705882353,0,0.00154381933723477
"141",2,5,"sep","mon",0.837920489296636,0.451884376143432,0.826641651031895,0.322916666666667,0.608247422680412,0.32,0.164705882352941,0,0.00168743043837289
"142",1,2,"aug","wed",0.978593272171254,0.354555433589462,0.610006253908693,0.645833333333333,0.656357388316151,0.213333333333333,0.482352941176471,0,0.00197465264064912
"143",8,6,"aug","fri",0.813455657492354,0.384193194291987,0.630644152595372,0.609375,0.584192439862543,0.48,1,0,0.0021900692923563
"144",1,2,"jul","sat",0.81039755351682,0.176728869374314,0.338586616635397,0.411458333333333,0.426116838487973,0.506666666666667,0.588235294117647,0,0.00254909704520159
"145",2,5,"aug","wed",0.978593272171254,0.354555433589462,0.610006253908693,0.645833333333333,0.673539518900344,0.226666666666667,0.588235294117647,0,0.00276451369690877
"146",6,5,"aug","thu",0.969418960244648,0.470911086717892,0.691932457786116,0.5,0.797250859106529,0.0933333333333333,0.423529411764706,0,0.00323124977560765
"147",5,4,"mar","mon",0.813455657492354,0.134284668862056,0.0762976860537836,0.28125,0.309278350515464,0.333333333333333,0.588235294117647,0,0.0034107636520303
"148",8,3,"sep","tue",0.63914373088685,0.25759238931577,0.80838023764853,0.125,0.687285223367698,0.173333333333333,0.376470588235294,0,0.00344666642731483
"149",2,2,"aug","tue",0.957186544342507,0.385290889132821,0.777360850531582,0.84375,0.45360824742268,0.373333333333333,0.741176470588235,0,0.00384159695544466
"150",8,6,"sep","thu",0.923547400611621,0.285034760336626,0.825015634771732,0.890625,0.670103092783505,0.133333333333333,0.482352941176471,0,0.0040211108318673
"151",6,5,"jun","fri",0.886850152905199,0.195389681668496,0.509943714821764,0.328125,0.652920962199313,0.32,0.588235294117647,0,0.00427243025885901
"152",9,9,"jul","sun",0.813455657492354,0.240029271862422,0.412257661038149,0.333333333333333,0.707903780068729,0.186666666666667,0.211764705882353,0,0.00488277743869601
"153",3,4,"jul","sat",0.813455657492354,0.176362971094036,0.498436522826767,0.28125,0.701030927835052,0.373333333333333,0.164705882352941,0,0.00513409686568772
"154",5,4,"sep","fri",0.941896024464832,0.300402488108306,0.833896185115697,0.786458333333333,0.54639175257732,0.426666666666667,0.529411764705882,0,0.00524180519154131
"155",1,5,"sep","sat",0.914373088685015,0.52103915111599,0.870293933708568,0.380208333333333,0.872852233676976,0.16,0.270588235294118,0,0.00524180519154131
"156",7,4,"aug","sun",0.957186544342507,0.385290889132821,0.777360850531582,0.84375,0.419243986254296,0.426666666666667,0.105882352941176,0,0.0056008329443866
"157",2,4,"sep","sat",0.914373088685015,0.52103915111599,0.870293933708568,0.380208333333333,0.838487972508591,0.16,0.211764705882353,0,0.00578034682080925
"158",2,2,"aug","wed",0.874617737003058,0.395901939260885,0.786116322701689,0.458333333333333,0.487972508591065,0.4,0.376470588235294,0,0.00585215237137831
"159",2,4,"aug","wed",0.874617737003058,0.395901939260885,0.786116322701689,0.458333333333333,0.560137457044674,0.266666666666667,0.423529411764706,0,0.00588805514666284
"160",7,4,"sep","fri",0.883792048929664,0.420417124039517,0.803502188868042,0.59375,0.508591065292096,0.253333333333333,0.635294117647059,0,0.00606756902308548
"161",7,4,"mar","mon",0.813455657492354,0.134284668862056,0.0762976860537836,0.28125,0.40893470790378,0.186666666666667,0.317647058823529,0,0.00628298567479266
"162",6,4,"aug","thu",0.969418960244648,0.470911086717892,0.691932457786116,0.5,0.553264604810997,0.346666666666667,0.423529411764706,0,0.0068215273040606
"163",6,3,"mar","sat",0.82874617737003,0.172338090010977,0.0935584740462789,0.364583333333333,0.378006872852234,0.213333333333333,0.952941176470588,0,0.00696513840519872
"164",8,6,"sep","sat",0.886850152905199,0.432125869008416,0.811507191994997,0.40625,0.467353951890034,0.546666666666667,0.164705882352941,0,0.00700104118048325
"165",8,5,"sep","sun",0.801223241590214,0.318331503841932,0.849030644152595,0.208333333333333,0.467353951890034,0.693333333333333,0.211764705882353,0,0.00721645783219043
"166",6,5,"mar","thu",0.654434250764526,0.0556165386022686,0.0367729831144465,0.114583333333333,0.0378006872852234,0.733333333333333,0.482352941176471,0,0.00768319391088931
"167",6,5,"aug","wed",0.874617737003058,0.395901939260885,0.786116322701689,0.458333333333333,0.426116838487973,0.426666666666667,0.0588235294117647,0,0.00822173554015725
"168",6,5,"aug","wed",0.99388379204893,0.454079765825101,0.681550969355847,0.817708333333333,0.65979381443299,0.24,0.482352941176471,0,0.0090115965964169
"170",8,6,"aug","thu",0.969418960244648,0.470911086717892,0.691932457786116,0.5,0.567010309278351,0.4,0.211764705882353,0,0.00915520769755502
